Tenor,spread_1m_2m,spread_1m_3m,spread_7m_8m,spread_8m_9m,spread_9m_10m,spread_10m_11m,spread_11m_1y,spread_1y_14m,fly_1m_2m_3m,fly_2m_3m_4m,fly_3m_4m_5m,fly_4m_5m_6m,fly_5m_6m_7m,fly_6m_7m_8m,fly_7m_8m_9m,fly_8m_9m_10m,fly_9m_10m_11m,fly_10m_11m_1y,fly_11m_1y_14m,fly_14m_2y_3y
2018-07-17,1.940000000000008,6.200000000000028,11.66,13.12000000000006,14.28999999999991,11.80000000000003,12.00000000000001,21.64999999999999,2.319999999999922,4.860000000000042,1.370000000000182,0.5899999999998684,1.040000000000063,-0.4599999999999937,1.459999999999972,1.16999999999976,-2.489999999999881,0.1999999999998892,9.65000000000007,-3.340000000000032
2018-07-18,2.629999999999999,8.070000000000022,12.5,13.34,15.05000000000001,12.38000000000001,12.15000000000002,21.19,2.810000000000024,4.340000000000011,1.350000000000051,-0.9600000000000719,4.11999999999999,-1.789999999999914,0.8399999999999963,1.7100000000001,-2.669999999999995,-0.2299999999999969,9.039999999999893,-4.449999999999932
2018-07-19,2.24000000000002,7.200000000000006,12.98000000000004,15.48999999999996,13.12000000000006,17.51999999999994,11.73000000000002,15.20000000000001,2.720000000000056,3.989999999999938,0.7900000000001128,0.6099999999998218,3.750000000000142,-1.119999999999877,2.510000000000012,-2.369999999999983,4.399999999999871,-5.789999999999829,3.469999999999906,-2.779999999999916
2018-07-20,2.73999999999992,7.629999999999981,11.38000000000003,12.18000000000004,13.74999999999993,11.76000000000004,12.37000000000004,20.89999999999996,2.150000000000141,5.41999999999998,-0.9099999999998332,3.389999999999915,-0.3000000000000114,-1.1099999999999,0.7999999999999119,1.569999999999894,-1.989999999999981,0.6099999999999994,8.530000000000015,-5.269999999999797
2018-07-23,1.770000000000049,6.790000000000074,13.44000000000003,14.86000000000001,12.92999999999997,12.09999999999996,12.92,21.36000000000005,3.249999999999886,4.449999999999932,1.150000000000162,-0.3999999999999559,4.529999999999923,-1.309999999999967,1.420000000000066,-1.929999999999943,-0.8300000000000196,0.8200000000000429,8.440000000000047,-6.800000000000139
2018-07-24,2.179999999999982,8.40999999999994,12.27,13.72,13.03000000000001,11.49999999999993,12.06000000000005,19.70000000000001,4.049999999999976,3.20999999999998,-1.379999999999981,1.190000000000069,6.550000000000011,-3.530000000000122,1.449999999999996,-0.6899999999999906,-1.530000000000165,0.560000000000116,7.639999999999958,-6.269999999999953
2018-07-25,1.750000000000007,5.480000000000018,9.529999999999994,10.29999999999998,14.02999999999999,10.92000000000004,11.7,18.95999999999995,1.980000000000004,3.500000000000014,0.440000000000218,2.779999999999916,4.340000000000011,-5.259999999999998,0.7699999999999818,3.730000000000011,-3.110000000000035,0.7799999999999585,7.259999999999955,-5.989999999999895
2018-07-26,1.710000000000012,6.38999999999994,8.719999999999928,12.43000000000007,13.47999999999994,10.93000000000002,11.58000000000001,18.52999999999998,2.969999999999828,3.940000000000055,-3.37000000000014,3.980000000000139,6.739999999999924,-7.250000000000156,3.710000000000235,1.049999999999862,-2.549999999999919,0.6500000000000838,6.949999999999967,-4.100000000000037
2018-07-27,1.689999999999969,6.039999999999957,8.150000000000013,12.99999999999999,13.41999999999999,9.20999999999994,12.14000000000004,19.43000000000001,2.660000000000018,4.48000000000004,-3.43,4.049999999999976,6.099999999999994,-7.399999999999984,4.849999999999888,0.420000000000087,-4.210000000000136,2.930000000000099,7.290000000000063,-0.870000000000104
2018-07-30,1.999999999999957,7.32999999999997,-2.780000000000005,15.66000000000001,9.499999999999975,9.949999999999992,11.51,18.41000000000008,3.330000000000055,2.590000000000003,-2.380000000000138,4.030000000000022,17.31999999999996,-29.66999999999995,18.44000000000001,-6.160000000000032,0.4500000000000171,1.559999999999917,6.900000000000084,-1.059999999999661
2018-07-31,1.800000000000068,5.990000000000073,5.480000000000018,15.03999999999994,11.09,10.36000000000001,11.96999999999999,19.16000000000002,2.389999999999937,2.57000000000005,1.750000000000007,1.350000000000051,4.429999999999978,-8.810000000000073,9.559999999999924,-3.950000000000031,-0.7299999999998974,1.609999999999978,7.190000000000119,0.1100000000000989
2018-08-01,2.179999999999982,6.25,9.820000000000029,12.73999999999997,13.26000000000001,7.980000000000054,11.60999999999994,18.71,1.890000000000036,2.510000000000012,2.569999999999872,3.700000000000081,-3.460000000000107,0.4300000000000637,2.919999999999945,0.5200000000000315,-5.279999999999951,3.629999999999889,7.100000000000151,4.080000000000084
2018-08-02,2.459999999999951,5.859999999999932,11.43999999999998,12.41000000000003,9.999999999999964,11.28999999999998,10.87000000000007,20.39999999999997,0.9399999999999409,5.400000000000027,0.4599999999999937,1.529999999999987,0.280000000000058,0.3700000000000259,0.9700000000000486,-2.410000000000068,1.290000000000013,-0.4199999999999093,9.529999999999994,-1.479999999999748
2018-08-03,3.239999999999998,7.99000000000003,10.57999999999995,13.27000000000007,11.49999999999993,10.72000000000006,11.35000000000002,19.71999999999996,1.510000000000034,2.660000000000018,0.5800000000000693,5.799999999999983,-5.439999999999934,2.229999999999954,2.690000000000126,-1.770000000000138,-0.7799999999997809,0.6299999999999528,8.369999999999855,-5.000000000000071
2018-08-06,2.730000000000032,7.290000000000063,10.02000000000001,12.15999999999999,10.85000000000003,10.32999999999999,11.41000000000005,19.20999999999999,1.829999999999998,1.05000000000004,4.589999999999961,3.130000000000166,-2.960000000000029,-0.3499999999998948,2.139999999999986,-1.309999999999967,-0.5200000000000315,1.07999999999997,7.79999999999994,-3.049999999999997
2018-08-07,3.629999999999978,9.299999999999997,8.04999999999998,12.76999999999999,11.57000000000004,10.40999999999999,11.01999999999999,21.03999999999999,2.040000000000042,1.149999999999984,2.360000000000007,3.730000000000011,1.659999999999862,-6.519999999999904,4.720000000000013,-1.199999999999868,-1.159999999999961,0.6099999999999994,10.01999999999992,-3.810000000000002
2018-08-08,3.67999999999995,9.79000000000001,10.59999999999999,13.53,12.88,11.32999999999997,11.25999999999996,23.25000000000008,2.430000000000199,4.479999999999862,-2.459999999999951,6.189999999999962,-2.089999999999925,-1.630000000000109,2.929999999999922,-0.6500000000000838,-1.550000000000118,-0.0700000000000145,11.99000000000012,-3.67999999999995
2018-08-09,3.819999999999979,9.940000000000015,14.08000000000005,14.36000000000002,12.74999999999995,12.42000000000001,12.99999999999999,21.26999999999999,2.299999999999969,4.020000000000046,0.3600000000000492,1.880000000000059,0.289999999999857,1.410000000000089,0.2799999999998803,-1.610000000000156,-0.3299999999999415,0.5800000000000693,8.270000000000088,-2.700000000000102
