,Mexico
2021-03-26,112.58352506163733
2021-03-29,112.72913386965733
2021-03-30,113.05564738188329
2021-03-31,113.51735121132324
2021-04-05,113.44270964197337
2021-04-06,113.76853710346084
2021-04-07,114.19388941446691
2021-04-08,114.13473346869453
2021-04-09,114.48267264986285
2021-04-12,114.39180436862237
2021-04-13,114.69801317266999
2021-04-14,114.70870376562306
2021-04-15,114.57694921544537
2021-04-16,114.36653450775252
2021-04-19,114.34873386676456
2021-04-20,113.8295884408916
2021-04-21,114.10984859261151
2021-04-22,114.31452706859007
2021-04-23,114.24329520033942
2021-04-26,114.41152993736216
2021-04-27,114.48810365415206
2021-04-28,114.46902560908792
2021-04-29,114.2839297684812
2021-04-30,114.31427552504874
2021-05-03,114.47317060156988
2021-05-04,114.4167745038209
2021-05-05,114.35823718759379
2021-05-06,114.19469608105113
2021-05-07,114.49980189166564
2021-05-10,114.55324756213308
2021-05-11,114.72451442495044
2021-05-12,113.97406938429076
2021-05-13,113.89061887805087
2021-05-14,113.41212474404914
2021-05-17,113.31350546506367
2021-05-18,112.99716176143413
2021-05-19,112.63251916474213
2021-05-20,112.59686335939065
2021-05-21,112.46853581693068
2021-05-24,111.4051987825364
2021-05-25,111.05654377626041
2021-05-26,111.8404068831274
2021-05-27,112.12262974877095
2021-05-28,112.39356690020017
2021-06-01,112.40535055274113
2021-06-02,111.9728166956143
2021-06-03,112.03634952233892
2021-06-04,111.95492637010997
2021-06-07,112.10253228088605
2021-06-08,112.18696280059379
2021-06-09,112.05120571668519
2021-06-10,112.16379182155562
2021-06-11,112.10472340958131
2021-06-14,112.07950984570272
2021-06-15,112.15377697893894
2021-06-16,112.42871405818823
2021-06-17,113.83880240583741
2021-06-18,113.97702136017564
2021-06-21,114.05191732108565
2021-06-22,114.17813731899082
2021-06-23,114.36143062447464
2021-06-24,112.86819670988568
2021-06-25,112.97140180726481
2021-06-28,113.56459371053451
2021-06-29,113.04074201872739
2021-06-30,113.00700880573926
2021-07-01,112.87596201419825
2021-07-02,113.30616196410048
2021-07-05,113.30588109580324
2021-07-06,113.59754326931927
2021-07-07,113.77246478786167
2021-07-08,113.69508622547484
2021-07-09,113.55143123407451
2021-07-12,113.49585097383039
2021-07-13,113.27017635037149
2021-07-14,113.36226822114523
2021-07-15,113.23859820417155
2021-07-16,113.14500760788326
2021-07-19,113.46682744127317
2021-07-20,113.14436359124274
2021-07-21,112.72550134187078
2021-07-22,112.59599007823371
2021-07-23,112.65231811480258
2021-07-26,112.52588797830352
2021-07-27,112.57502254832133
2021-07-28,112.64844023969647
2021-07-29,112.68869657875136
2021-07-30,112.51033553658036
2021-08-02,112.47270935227911
2021-08-03,112.3372647346942
2021-08-04,112.05946233292651
2021-08-05,112.2999983995798
2021-08-06,112.49582940429524
2021-08-09,112.69464238517206
2021-08-10,112.57944376607823
2021-08-11,112.64410427013287
2021-08-12,112.66201128441251
2021-08-13,112.52496186356223
2021-08-16,112.7752258609537
2021-08-17,112.60129894471956
2021-08-18,112.70961612470451
2021-08-19,112.72440094396839
2021-08-20,112.66732635611889
2021-08-23,112.66944051801693
2021-08-24,112.5474410725799
2021-08-25,112.48681058575676
2021-08-26,112.67527854869644
2021-08-27,112.83270505509448
2021-08-30,112.73091435307445
2021-08-31,112.46056715105088
2021-09-01,112.31455781857882
2021-09-02,112.08732014854573
2021-09-03,112.3717503557741
2021-09-07,112.22256521232559
2021-09-08,112.1237505056298
2021-09-09,112.05508062778209
2021-09-10,112.32768378439559
2021-09-13,112.27327755568564
2021-09-14,112.35287981683253
2021-09-15,112.23953523753525
2021-09-17,112.21883856138975
2021-09-20,112.11338779050108
2021-09-21,112.16469955855854
2021-09-22,111.74297117762453
2021-09-23,111.84571689475436
2021-09-24,111.59510177989829
2021-09-27,111.3849213717498
2021-09-28,111.71665019690602
2021-09-29,111.66356953088811
2021-09-30,111.6920891416927
2021-10-01,111.58950607141244
2021-10-04,111.40324907074839
2021-10-05,111.22625232834586
2021-10-06,111.33900981742198
2021-10-07,111.74886795547918
2021-10-08,111.91456472055161
2021-10-12,111.95369018208635
2021-10-13,112.37455701169922
2021-10-14,112.54846110132688
2021-10-15,112.86383111553178
2021-10-18,113.18099522102112
2021-10-19,113.11074286374783
2021-10-20,112.79403834801955
2021-10-21,112.63928232627387
2021-10-22,112.60401671550963
2021-10-25,112.43879036222228
2021-10-26,112.36978112168042
2021-10-27,113.5304548725017
2021-10-28,114.45949027198048
2021-10-29,114.79687156978456
2021-11-01,114.31685670628265
2021-11-03,114.19849058835342
2021-11-04,113.59186444898748
2021-11-05,113.94816407800843
2021-11-08,113.98416769464437
2021-11-09,113.74910045275557
2021-11-10,113.65601243611687
2021-11-11,112.78253275592967
2021-11-12,113.12511694527889
2021-11-16,113.16908545192364
2021-11-17,113.19904760988213
2021-11-18,113.50023644227554
2021-11-19,113.59148075145737
2021-11-22,113.5147345374808
2021-11-23,113.16941547302721
2021-11-24,113.10114848383566
2021-11-26,112.94142977670975
2021-11-29,112.738579803895
2021-11-30,113.37154324817706
2021-12-01,113.76744600333346
2021-12-02,113.81236972980457
2021-12-03,114.28013902135194
2021-12-06,113.88990542238815
2021-12-07,113.6803823531296
2021-12-08,113.55432481599162
2021-12-09,113.58404378156276
2021-12-10,113.33942244802854
2021-12-13,113.6805195432327
2021-12-14,113.61363207675261
2021-12-15,113.7079264308594
2021-12-16,114.25323035698851
2021-12-17,114.4370397677283
2021-12-20,114.43914654661633
2021-12-21,114.3893516945026
2021-12-22,114.03939727610495
2021-12-23,113.7501924648719
2021-12-24,113.72646503600707
2021-12-27,113.40531993997391
2021-12-28,113.61073718765067
2021-12-29,113.53316537730649
2021-12-30,113.51221731206047
2021-12-31,113.4590976159696
2022-01-03,113.21168058222655
2022-01-04,113.2424331088088
2022-01-05,113.34809338191334
2022-01-06,113.4217972738486
