,EU
2021-05-13,106.18670657901244
2021-05-14,106.14112461659795
2021-05-17,106.20930519820635
2021-05-18,106.1637511060719
2021-05-19,106.27670488089034
2021-05-20,106.20660472284868
2021-05-21,106.57765544041125
2021-05-24,106.41183289528249
2021-05-25,106.3642371935629
2021-05-26,106.08535034426106
2021-05-27,106.08535034426106
2021-05-28,106.08535034426106
2021-05-31,106.03287295846184
2021-06-01,106.04796612375627
2021-06-02,106.04796612375627
2021-06-03,105.99454194199764
2021-06-04,105.86642884202703
2021-06-07,105.86642884202703
2021-06-08,105.81143425389298
2021-06-09,105.80742345675691
2021-06-10,105.807556287734
2021-06-11,105.8663529245717
2021-06-14,105.8663529245717
2021-06-15,105.81223988051288
2021-06-16,105.70800134979028
2021-06-17,105.65676267926962
2021-06-18,105.3360135167166
2021-06-21,105.26014574137919
2021-06-22,105.60008819964155
2021-06-23,105.75198438157605
2021-06-24,105.80373416227064
2021-06-25,105.59578142063503
2021-06-28,105.69246034705711
2021-06-29,105.57476403671835
2021-06-30,105.78094987797411
2021-07-01,105.85518082797138
2021-07-02,106.10610540813965
2021-07-05,105.81618956266787
2021-07-06,106.21062633138895
2021-07-07,106.41415201850634
2021-07-08,106.40969209103469
2021-07-09,106.45313890097793
2021-07-12,106.45313890097793
2021-07-13,106.45313890097793
2021-07-14,106.39388608108966
2021-07-15,106.31836538253363
2021-07-16,106.3800348153656
2021-07-19,106.5493249059443
2021-07-20,106.48668859069983
2021-07-21,106.58822823491091
2021-07-22,106.33739060690017
2021-07-23,106.13035659311298
2021-07-26,106.06996041366506
2021-07-27,106.25871705805396
2021-07-28,106.1849008486664
2021-07-29,106.14912211922247
2021-07-30,106.08724717375296
2021-08-02,106.1661856520614
2021-08-03,106.11505229350308
2021-08-04,106.12682657884218
2021-08-05,106.11608000855028
2021-08-06,106.38353274445637
2021-08-09,106.38353274445637
2021-08-10,106.32122230177232
2021-08-11,106.59877020835347
2021-08-12,106.25556867483121
2021-08-13,106.70560595921053
2021-08-16,106.64374555768849
2021-08-17,106.72356272651041
2021-08-18,106.66968984002297
2021-08-19,106.7557161194601
2021-08-20,106.7557161194601
2021-08-23,106.68485384223212
2021-08-24,106.67028502745963
2021-08-25,106.45665950828192
2021-08-26,106.38556602423672
2021-08-27,106.26933553984483
2021-08-30,106.48328958985167
2021-08-31,106.48328958985167
2021-09-01,106.41194566700882
2021-09-02,106.77311532270812
2021-09-03,107.2758997834917
2021-09-06,107.15009235117165
2021-09-07,107.08777785351312
2021-09-08,107.0822201405887
2021-09-09,106.64900620541545
2021-09-10,106.58372815617905
2021-09-13,106.62628998714972
2021-09-14,106.79317738631656
2021-09-15,106.47085313110472
2021-09-16,106.760167512379
2021-09-17,107.34339207604503
2021-09-20,107.34339207604503
2021-09-21,107.34339207604503
2021-09-22,107.34339207604503
2021-09-23,107.2841324341199
2021-09-24,107.00080658744106
2021-09-27,107.04048662854828
2021-09-28,106.9815927167344
2021-09-29,106.4543765212644
2021-09-30,106.41886930661484
2021-10-01,106.3685440383907
2021-10-04,106.4035928613861
2021-10-05,106.83451225175216
2021-10-06,106.77639251393704
2021-10-07,106.52520574574909
2021-10-08,107.01959672899604
2021-10-11,107.01959672899604
2021-10-12,106.96495503067405
2021-10-13,107.73971132698314
2021-10-14,107.69148542454971
2021-10-15,107.63708187991602
2021-10-18,107.64535407756912
2021-10-19,108.01950534069927
2021-10-20,108.3849804117895
2021-10-21,108.09088552784863
2021-10-22,108.9004491261844
2021-10-25,108.68350653730039
2021-10-26,109.00867528618956
2021-10-27,107.50468469671439
2021-10-28,106.66064922454481
2021-10-29,107.04708677323747
2021-11-01,107.71579091678969
2021-11-02,107.82522889871468
2021-11-03,107.82522889871468
2021-11-04,107.82522889871468
2021-11-05,107.82522889871468
2021-11-08,107.82522889871468
2021-11-09,107.80190002126086
2021-11-10,107.69575100984004
2021-11-11,107.78125762041827
2021-11-12,108.06144479901529
2021-11-15,108.06144479901529
2021-11-16,108.06144479901529
2021-11-17,108.06144479901529
2021-11-18,108.06144479901529
2021-11-19,108.06144479901529
2021-11-22,108.06144479901529
2021-11-23,108.03892882300153
2021-11-24,108.02442073271432
2021-11-25,108.02442073271432
2021-11-26,108.00178977208643
2021-11-29,108.00262527183686
2021-11-30,108.03007395698828
2021-12-01,108.0072392287631
2021-12-02,108.37040312653794
2021-12-03,108.37040312653794
2021-12-06,108.37040312653794
2021-12-07,108.34783483892735
2021-12-08,108.20347859796813
2021-12-09,108.38749835967812
2021-12-10,108.06041150316884
2021-12-13,108.24537892562564
2021-12-14,108.39349735220986
2021-12-15,108.54869735072643
2021-12-16,108.14033568278623
2021-12-17,107.8922022121467
2021-12-20,108.01412904844827
2021-12-21,107.82999241527995
2021-12-22,108.05335454066709
2021-12-23,107.97979103016937
2021-12-24,107.99798966577232
2021-12-27,107.97585475293798
2021-12-28,108.08552571658923
2021-12-29,108.08552571658923
2021-12-30,108.06350822601678
2021-12-31,108.07077836568044
2022-01-03,108.04859213994477
2022-01-04,108.14230045441884
2022-01-05,108.11996151233387
2022-01-06,108.08246641838959
2022-01-07,108.14541801715892
2022-01-10,108.1954036672111
2022-01-11,108.01712565442824
2022-01-12,107.81673297234866
2022-01-13,107.78203321505129
2022-01-14,107.60263084183967
2022-01-17,107.70775762977274
2022-01-18,107.6451915013785
2022-01-19,107.85525372217744
2022-01-20,107.88025527410112
2022-01-21,107.88025527410112
2022-01-24,107.88025527410112
2022-01-25,107.85464732133805
2022-01-26,108.16889119940618
2022-01-27,107.71530188341478
2022-01-28,107.67100103798109
2022-01-31,106.89973019580576
2022-02-01,107.08731967530886
2022-02-02,106.83096516828712
2022-02-03,104.73357812904797
2022-02-04,103.49668965950127
2022-02-07,104.06764280057862
2022-02-08,104.3186891934558
2022-02-09,104.3636597610898
2022-02-10,104.3486972169968
2022-02-11,104.24712452255972
2022-02-14,104.26842108707932
2022-02-15,104.32590310752927
2022-02-16,104.6448338321905
2022-02-17,104.6448338321905
2022-02-18,104.6448338321905
2022-02-21,104.6448338321905
2022-02-22,104.6448338321905
2022-02-23,104.6448338321905
2022-02-24,104.6448338321905
2022-02-25,104.6448338321905
2022-02-28,104.63070998566144
2022-03-01,105.08170468883078
2022-03-02,105.62249555446014
2022-03-03,105.60928633380809
2022-03-04,105.69047452194525
2022-03-07,105.68435813069354
2022-03-08,105.54476459508268
2022-03-09,105.531571928361
2022-03-10,104.65465361451729
2022-03-11,104.84111530121729
2022-03-14,104.79240336395432
2022-03-15,105.01125206838549
2022-03-16,105.01125206838549
2022-03-17,104.99962296268568
2022-03-18,105.14477743077113
2022-03-21,105.3955918138117
2022-03-22,105.3955918138117
2022-03-23,105.3955918138117
2022-03-24,105.3955918138117
2022-03-25,105.38415141005592
2022-03-28,105.56168404567737
2022-03-29,105.75449730269324
2022-03-30,106.00648787107419
2022-03-31,105.94263069866629
2022-04-01,105.85272831616199
2022-04-04,105.95092547406449
2022-04-05,105.99908122147687
2022-04-06,106.13662558176182
2022-04-07,106.12537347139603
2022-04-08,106.50913408441387
2022-04-11,106.50913408441387
2022-04-12,106.49817691396952
2022-04-13,106.55799734579561
2022-04-14,106.18816362883436
2022-04-15,106.30504653081833
2022-04-19,106.2174663064456
2022-04-20,106.10920813277924
2022-04-21,106.6870839349239
2022-04-22,107.23062566273444
2022-04-25,107.23062566273444
2022-04-26,107.23062566273444
2022-04-27,107.23062566273444
2022-04-28,107.22057038424066
2022-04-29,106.92530298351421
2022-05-02,107.06918652835864
2022-05-03,107.06918652835864
2022-05-04,107.06918652835864
2022-05-05,107.06918652835864
2022-05-06,107.0576070619004
2022-05-09,106.91597202633368
2022-05-10,106.91597202633368
2022-05-11,106.91597202633368
2022-05-12,106.90385148657502
2022-05-13,106.9613932675451
2022-05-16,107.39312173792112
2022-05-17,107.38103925901382
2022-05-18,107.56489973694168
2022-05-19,107.59248152389935
2022-05-20,107.61357680911789
2022-05-23,107.67263880681783
2022-05-24,107.73477869370392
2022-05-25,107.63901100589149
2022-05-26,107.60420720949115
2022-05-27,107.8152862426094
2022-05-30,108.07387333711007
2022-05-31,108.21759285183536
2022-06-01,108.20416308056741
2022-06-02,108.11393693317164
2022-06-03,108.28077198226342
2022-06-06,108.37597180897167
2022-06-07,108.41563240684332
2022-06-08,108.39252132351662
2022-06-09,109.00928747403862
2022-06-10,109.18281761353347
2022-06-13,109.77971173420806
2022-06-14,110.85052494237272
2022-06-15,111.87457771636575
2022-06-16,111.8715311697199
2022-06-17,111.88238455190071
2022-06-20,111.75509412367724
2022-06-21,111.73368582905663
2022-06-22,111.79614784668925
2022-06-23,111.98718796614754
2022-06-24,111.9744965050507
2022-06-27,111.91055789655539
2022-06-28,111.97152809721285
2022-06-29,111.7429801090091
2022-06-30,112.01190893219797
2022-07-01,112.20317186753444
2022-07-04,111.74377668265683
2022-07-05,112.16939778014338
2022-07-06,112.27668809893976
2022-07-07,112.26457020549509
2022-07-08,112.30225943758529
2022-07-11,112.30225943758529
2022-07-12,112.29014536500297
2022-07-13,112.51242183141727
2022-07-14,112.50003299254168
2022-07-15,112.77030322345529
2022-07-18,112.71956930962381
2022-07-19,112.85113312351014
2022-07-20,112.93849194370851
2022-07-21,113.01051407211133
2022-07-22,113.22267395847948
2022-07-25,113.17845218212672
2022-07-26,113.40092068135834
2022-07-27,113.38689696241894
2022-07-28,113.3305188831879
2022-07-29,113.3305188831879
2022-08-01,113.3164233025613
2022-08-02,113.49829413992336
2022-08-03,113.48419263916905
2022-08-04,113.72202539518632
2022-08-05,113.72202539518632
2022-08-08,113.70784523980657
2022-08-09,113.80568783898009
2022-08-10,113.79148089710284
2022-08-11,114.04488540192625
2022-08-12,114.16593782281753
2022-08-15,114.16593782281753
2022-08-16,114.15140688340999
2022-08-17,113.87864653251371
2022-08-18,113.98652624224528
2022-08-19,113.87485692021401
2022-08-22,113.98166176413727
2022-08-23,114.14758314133955
2022-08-24,114.00853054368913
2022-08-25,113.84620775896983
2022-08-26,113.90486671465918
2022-08-29,114.31034814729625
2022-08-30,114.31034814729625
2022-08-31,114.29611315446459
2022-09-01,114.16244687447087
2022-09-02,113.98461111293344
2022-09-05,114.14532281293064
2022-09-06,114.42743658067376
2022-09-07,114.41316533905524
