,US
2016-11-25,97.39755648380614
2016-11-28,97.59218034558944
2016-11-29,97.69510720582116
2016-11-30,97.33626292985431
2016-12-01,96.95515483410347
2016-12-08,96.79510929204919
2016-12-09,96.58272238550553
2016-12-12,96.39495558862987
2016-12-13,96.43669169471552
2016-12-14,95.81228099515813
2016-12-15,95.86033372761675
2016-12-16,95.68279713023608
2016-12-19,95.982754180305
2016-12-21,96.05824922626725
2016-12-22,95.87641077274672
2016-12-27,95.73590522722229
2016-12-28,95.74933287287264
2016-12-29,95.92405821113992
2017-01-03,95.95733626547627
2017-01-04,95.95733626547627
2017-01-05,95.95733626547627
2017-01-06,95.95733626547627
2017-01-09,95.95733626547627
2017-01-10,95.95733626547627
2017-01-11,95.92602882558896
2017-01-12,96.00178665449661
2017-01-13,96.12431830860059
2017-01-17,95.77360682256634
2017-01-18,96.26221265051669
2017-01-19,96.26221265051669
2017-01-20,96.26221265051669
2017-01-23,96.23162462341193
2017-01-24,96.45583938149035
2017-01-25,96.67655004895607
2017-01-27,96.70528328873984
2017-01-30,96.70528328873984
2017-02-03,96.6719665189326
2017-02-06,96.95104027418687
2017-02-07,96.8814112327998
2017-02-08,96.4841510427582
2017-02-09,96.84995916445493
2017-02-10,96.91890215899672
2017-02-13,97.0248481170067
2017-02-14,96.99279318610094
2017-02-17,96.88518208341489
2017-02-21,96.85340497522692
2017-02-22,96.92866954005794
2017-02-27,96.89477710858343
2017-03-02,97.89932634981838
2017-03-03,97.87004805591837
2017-03-06,97.74408863944733
2017-03-07,97.77342768267285
2017-03-08,98.04378731977904
2017-03-09,98.24637047177926
2017-03-10,98.29178463173749
2017-03-14,98.27946372385257
2017-03-15,97.97839882585065
2017-03-16,98.24746886343401
2017-03-17,98.22574612286
2017-03-20,98.03060544933552
2017-03-21,98.07717188787662
2017-03-22,97.94770016054389
2017-03-23,98.07153901414799
2017-03-24,97.97367365210071
2017-03-27,97.76026307853637
2017-03-28,97.89639810260803
2017-03-29,97.92782984091542
2017-03-30,98.19178890093772
2017-03-31,98.19178890093772
2017-04-03,98.1605648117676
2017-04-05,98.41176455451732
2017-04-06,98.49437317541764
2017-04-07,98.39432898360714
2017-04-10,98.37346592663253
2017-04-11,98.3412912756364
2017-04-12,98.22968779735494
2017-04-13,98.24173806046358
2017-04-17,98.27203427345734
2017-04-18,97.80848042524983
2017-04-19,97.90998106347243
2017-04-20,98.09085271165976
2017-04-21,98.0045578407801
2017-04-24,98.47121591918383
2017-04-25,98.440557900404
2017-04-26,98.57003729365604
2017-04-27,98.61908669724492
2017-04-28,98.58800305854561
2017-05-01,98.56323492717524
2017-05-02,98.56323492717524
2017-05-03,98.53215946189479
