,China
2021-01-15,115.78390435320671
2021-01-18,115.79640976916963
2021-01-19,116.10849004550461
2021-01-20,116.00150134656843
2021-01-21,116.13908019492274
2021-01-25,116.00464616710802
2021-01-27,115.61862433578725
2021-01-28,115.71631643265896
2021-02-02,115.05135660472206
2021-02-03,114.97664604295774
2021-02-04,115.09443610138051
2021-02-05,115.14822690282296
2021-02-09,114.79207576580596
2021-02-10,114.43068092090236
2021-02-18,114.22100383971225
2021-02-19,114.18041611659669
2021-02-22,114.2624985225946
2021-02-23,113.94518262579543
2021-02-24,114.15100680156137
2021-02-25,114.061515248854
2021-02-26,113.86689857219186
2021-03-01,113.95834938726676
2021-03-02,114.02909894738235
2021-03-03,113.86507885939281
2021-03-04,113.92055554740101
2021-03-05,114.01151435305049
2021-03-08,114.44135417881868
2021-03-09,114.1479469823381
2021-03-10,114.16950692829921
2021-03-11,114.04291240627535
2021-03-12,114.1189781880877
2021-03-15,113.90150703027409
2021-03-16,114.07653156500739
2021-03-17,114.12292025353035
2021-03-18,114.03623831268648
2021-03-22,113.90132861680256
2021-03-23,114.25428354213776
2021-03-24,113.92862714731224
2021-03-25,114.29486674217024
2021-03-26,113.92974010833044
2021-03-29,114.26128869317455
2021-03-30,113.85004280696202
2021-03-31,114.04808797557689
2021-04-01,114.11527301772439
2021-04-02,113.93189347994496
2021-04-06,113.64437538768422
2021-04-07,113.568448522768
2021-04-08,113.59716027558035
2021-04-09,113.88666462124819
2021-04-12,113.96083295520474
2021-04-13,113.67121555109449
2021-04-14,113.83714447340749
2021-04-15,113.79549728640043
2021-04-16,113.84704729388221
2021-04-19,113.94333055508008
2021-04-20,113.85554702652428
2021-04-21,113.7801440205001
2021-04-22,113.75316600042382
2021-04-23,113.5383358195106
2021-04-26,113.5425544818669
2021-04-27,113.68787460324373
2021-04-28,113.79178836623566
2021-04-29,113.67495417844673
2021-04-30,113.63758460686415
2021-05-06,113.88175394130344
2021-05-07,113.64150516141231
2021-05-10,113.48033416645171
2021-05-11,113.3337785300957
2021-05-12,113.33956420168346
2021-05-13,113.16897493643991
2021-05-14,113.22770070397942
2021-05-17,113.59610786153883
2021-05-18,113.47999635333976
2021-05-19,113.58768381203588
2021-05-20,113.63904302973337
2021-05-21,113.0654617942368
2021-05-24,113.7129635422633
2021-05-25,113.57472462912025
2021-05-26,113.56966434240468
2021-05-27,113.47180802417117
2021-05-28,113.42538064662959
2021-05-31,113.86665620069354
2021-06-01,113.45122456610224
2021-06-02,113.53192871209663
2021-06-03,113.49169956824414
2021-06-04,112.87819404027974
2021-06-07,113.41522645267514
2021-06-08,113.00094458758988
2021-06-09,113.4027131448824
2021-06-10,113.19067785931401
2021-06-11,113.12588467110399
2021-06-15,113.38680081069126
2021-06-16,112.86664016986153
2021-06-17,113.14134385324537
2021-06-18,113.28803703212684
2021-06-21,113.42092918883992
2021-06-22,113.26735114445974
2021-06-23,113.05544594197218
2021-06-24,113.22974896634948
2021-06-25,113.14947835725005
2021-06-28,113.05843850209105
2021-06-29,113.45083549077697
2021-06-30,113.3681786486796
2021-07-01,112.82286653579222
2021-07-02,112.7479842031891
2021-07-05,112.92492026381231
2021-07-06,113.18222461867519
2021-07-07,112.95611472435225
2021-07-08,112.43679025081647
2021-07-09,112.57185546884085
2021-07-12,112.1443896180903
2021-07-13,112.38247092404512
2021-07-14,112.75568786432171
2021-07-15,112.35732525016071
2021-07-16,112.61777609038803
2021-07-19,112.73309184505702
2021-07-20,112.41167114298607
2021-07-21,112.47572766619855
2021-07-22,112.59426506046033
2021-07-23,112.20376944023074
2021-07-26,112.42767362342971
2021-07-27,112.48393333732697
2021-07-28,112.46979316100006
2021-07-29,112.71353512377773
2021-07-30,112.7516163097248
2021-08-02,112.72090399573248
2021-08-03,112.68638585932776
2021-08-04,112.61211495946168
2021-08-05,112.76542946449173
2021-08-06,112.77955350435724
2021-08-09,112.96304109754793
2021-08-10,112.6268961318028
2021-08-11,112.5455031435262
2021-08-12,112.59723290613725
2021-08-13,113.0686664071826
2021-08-16,112.67043672744532
2021-08-17,112.76791318418033
2021-08-18,112.96409810729739
2021-08-19,112.79600947935897
2021-08-20,112.57012185434574
2021-08-23,112.58014684601282
2021-08-24,112.80153546964861
2021-08-25,112.62944094536533
2021-08-26,112.7287908823635
2021-08-27,112.68135999959046
2021-08-30,112.49483726230605
2021-08-31,112.63790848914792
2021-09-01,112.59486304730811
2021-09-02,112.36234740208903
2021-09-03,112.59704467992044
2021-09-06,112.50945862914186
2021-09-07,112.36045063968676
2021-09-08,112.53069346568057
2021-09-09,112.4936897272993
2021-09-10,112.6275615473413
2021-09-13,112.23958754230412
2021-09-14,112.1620367206226
2021-09-15,112.244302836137
2021-09-16,112.5153049116161
2021-09-17,112.72063850397261
2021-09-22,112.33993467678498
2021-09-23,112.47058705168847
