,Chile
2018-10-12,100.58506420892941
2018-10-17,100.71392226056552
2018-10-18,100.76304309156328
2018-10-19,100.67728422173884
2018-10-22,100.71508281197315
2018-10-23,100.68272072242146
2018-10-24,100.45911560393081
2018-10-29,100.37034092845836
2018-10-30,100.59598866632915
2018-10-31,100.56946558758754
2018-11-05,100.48440416845136
2018-11-06,100.6768276937298
2018-11-07,100.61028344923983
2018-11-08,100.50400207985784
2018-11-09,100.56036983487886
2018-11-12,100.59878115343395
2018-11-13,100.65502352862248
2018-11-14,100.66384479976809
2018-11-15,100.51054643292592
2018-11-16,100.76788521374489
2018-11-19,100.44966226754559
2018-11-20,100.59330047021386
2018-11-21,100.69576007030471
2018-11-22,100.9347965099461
2018-11-23,100.85593252070646
2018-11-26,100.81331411527002
2018-11-27,100.76540013518871
2018-11-28,100.88976540634572
2018-11-29,100.86921180445843
2018-11-30,100.904475725477
2018-12-03,101.04782501227858
2018-12-04,101.06957982146324
2018-12-05,100.96215493528611
2018-12-06,100.74692060682425
2018-12-07,100.95639314962793
2018-12-10,101.19549431521034
2018-12-11,101.00490529845972
2018-12-12,101.06292013451166
2018-12-13,100.66773636278295
2018-12-14,101.0025608341193
2018-12-17,100.7294478575206
2018-12-18,100.7861057230136
2018-12-19,100.8511781154666
2018-12-20,100.78113466863567
2018-12-21,100.86867631812207
2018-12-24,100.86494930306833
2018-12-26,100.92296362530442
2018-12-27,101.0582257363046
2018-12-28,101.16279448386139
2019-01-02,100.83630712518288
2019-01-03,100.97639135958045
2019-01-04,100.57169450168556
2019-01-07,100.82054850301365
2019-01-08,101.02919097339208
2019-01-09,101.13641878747204
2019-01-10,101.17725407019762
2019-01-11,101.16120782722969
2019-01-14,101.01115833516954
2019-01-15,100.93728197990568
2019-01-16,100.9015058306313
2019-01-17,100.84004481725877
2019-01-18,100.87191490261125
2019-01-21,100.99257811313613
2019-01-22,100.90374180201123
2019-01-23,100.74209496497082
2019-01-24,100.82454741193037
2019-01-25,100.6719329240384
2019-01-28,100.65207619814984
2019-01-29,100.66912334651296
2019-01-30,100.72881649311482
2019-01-31,100.68729681451654
2019-02-01,100.71033745860709
2019-02-04,100.69195895877927
2019-02-05,100.61956571972053
2019-02-06,100.385858384096
2019-02-07,100.65598381178806
2019-02-08,100.87019716325156
2019-02-11,100.57308893890784
2019-02-12,100.19716700207513
2019-02-13,100.4712742729877
2019-02-14,100.36160726889057
2019-02-15,100.32487154475096
2019-02-18,100.44019922991352
2019-02-19,100.70237908856467
2019-02-20,100.87840332386378
2019-02-21,100.87419666602635
2019-02-22,100.71828420223979
2019-02-25,100.6391554689356
2019-02-26,100.61264492658992
2019-02-27,100.79231955922035
2019-02-28,100.81756000066302
2019-03-01,100.93428622752647
2019-03-04,100.85526282915424
