,Brazil
2018-09-13,118.07819491528574
2018-09-14,118.01935010885816
2018-09-17,118.58167658574976
2018-09-18,118.3712137112781
2018-09-19,118.31277753521674
2018-09-20,118.37969618876004
2018-09-21,118.59616019218898
2018-09-24,118.28929816982246
2018-09-25,118.16696303495044
2018-09-26,118.37691628892098
2018-09-27,118.24267178257664
2018-09-28,117.94869557817609
2018-10-01,117.74720334632111
2018-10-02,118.13831171828184
2018-10-03,118.16852077877942
2018-10-04,117.95362026153381
2018-10-05,118.19629339726094
2018-10-08,118.29061490802913
2018-10-09,117.85618815678522
2018-10-10,117.92656991378895
2018-10-11,117.79378483846045
2018-10-15,117.89643970455825
2018-10-16,117.87523555378043
2018-10-17,117.87627891500875
2018-10-18,117.9585982465946
2018-10-19,117.90097774409915
2018-10-22,117.86135459200476
2018-10-23,117.8699638406175
2018-10-24,117.66469217207407
2018-10-25,118.1348048595878
2018-10-26,117.63314400775148
2018-10-29,118.01165832465664
2018-10-30,118.01164301184835
2018-10-31,117.91535298952766
2018-11-01,117.99300169841334
2018-11-05,117.84620194931028
2018-11-06,117.99093058622925
2018-11-07,117.87032003917571
2018-11-08,117.8737103176871
2018-11-09,117.95396528123723
2018-11-12,117.87690102418425
2018-11-13,117.8798686455626
2018-11-14,117.79568400270541
2018-11-16,117.7203599849146
2018-11-19,117.72798234070878
2018-11-21,117.49485110268915
2018-11-22,117.5319584252797
2018-11-23,117.49834311063606
2018-11-26,117.7392472470177
2018-11-27,117.7332341456723
2018-11-28,117.85586693476375
2018-11-29,117.66522685003406
2018-11-30,117.8238878736577
2018-12-03,117.86948911926198
2018-12-04,117.923341731117
2018-12-05,117.79168824084883
2018-12-06,117.79056522681147
2018-12-07,117.6599014762133
2018-12-10,117.61258138636657
2018-12-11,117.49058799505903
2018-12-12,117.52753964880162
2018-12-13,117.38445729573357
2018-12-14,117.35284675267637
2018-12-17,117.3306074021929
2018-12-18,117.38329874225208
2018-12-19,117.37238261547364
2018-12-20,117.22330768969897
2018-12-21,117.34985985344728
2018-12-26,117.42025295884679
2018-12-27,117.34543142219356
2018-12-28,117.24155182824259
2019-01-02,117.0674978673057
