,India
2019-07-09,139.66474809041415
2019-07-10,139.64871281491784
2019-07-11,139.69909356200316
2019-07-12,139.69909356200316
2019-07-15,139.59126056934392
2019-07-16,140.00148762662462
2019-07-17,140.19822036797802
2019-07-18,140.19822036797802
2019-07-19,140.19822036797802
2019-07-22,140.19822036797802
2019-07-23,140.0744734631003
2019-07-24,140.25683831724103
2019-07-25,140.43873674710096
2019-07-26,140.43873674710096
2019-07-29,140.3054915237222
2019-07-30,140.54550580458215
2019-07-31,140.54550580458215
2019-08-01,140.54550580458215
2019-08-02,140.41196545753505
2019-08-05,140.42921822093928
2019-08-06,140.42921822093928
2019-08-07,140.2938987852177
2019-08-08,140.4871974115582
2019-08-09,140.35335916234007
2019-08-12,140.32668621008202
2019-08-13,140.21408233132314
2019-08-14,140.83350061714776
2019-08-15,140.29837159382424
2019-08-16,140.27477383294575
2019-08-19,140.46824170140488
2019-08-20,140.12130707325298
2019-08-21,140.31802290629392
2019-08-22,140.2906306099388
2019-08-23,140.50288858666363
2019-08-26,140.50288858666363
2019-08-27,140.50288858666363
2019-08-28,140.36502272135357
2019-08-29,139.85957321978609
2019-08-30,140.58581799680215
2019-09-02,140.44691214225108
2019-09-03,140.5099567493134
2019-09-04,140.84804432249814
2019-09-05,140.84804432249814
2019-09-06,140.7106643854234
2019-09-09,140.95598580040968
2019-09-11,141.39289718959338
2019-09-12,141.25922910530466
2019-09-13,141.30711344403687
2019-09-16,141.4160696762344
2019-09-17,141.49685215645644
2019-09-18,141.4726687927863
2019-09-19,141.43476786020483
2019-09-20,141.39641119675204
2019-09-23,141.40280792827596
2019-09-24,141.40280792827596
2019-09-25,141.27359224311837
2019-09-26,141.82998195858374
2019-09-27,141.82998195858374
2019-09-30,141.70511028380582
2019-10-01,141.5579793009847
2019-10-02,142.44312994068477
2019-10-03,141.80234094879702
2019-10-04,142.36134614618442
2019-10-07,142.68628989978376
2019-10-08,142.68628989978376
2019-10-09,142.68628989978376
2019-10-10,142.68628989978376
2019-10-11,142.68628989978376
2019-10-14,142.68628989978376
2019-10-15,142.56423233789857
2019-10-16,142.62513691142922
2019-10-17,143.07032883134428
2019-10-18,143.0054936552172
2019-10-21,143.4833729798315
2019-10-22,143.58662185078316
2019-10-23,143.60000496015024
2019-10-24,143.60553176468304
2019-10-25,143.58071502480158
2019-10-28,143.58461714813612
2019-10-29,143.5261261419673
2019-10-30,143.57472067027606
2019-10-31,143.43670760366481
2019-11-01,143.67333650392231
2019-11-04,143.67333650392231
2019-11-05,143.5545931187417
2019-11-06,143.7347776287053
2019-11-07,143.61790006429047
2019-11-08,143.85293046860787
2019-11-11,144.0260929788369
2019-11-12,144.0942504351996
2019-11-13,144.2727785300216
2019-11-14,144.5325304302688
