Tenor,spread_3m_10y,spread_9m_1y,spread_9m_18m,spread_9m_2y,fly_1m_3m_6m,fly_1y_18m_2y,fly_18m_2y_3y,fly_2y_3y_5y,fly_5y_7y_10y,fly_10y_12y_15y,fly_12y_15y_20y
2025-05-02,8.499999999999996,-8.000000000000007,-16.5,-34.25000000000003,-6.099999999999994,-9.250000000000114,20.74999999999996,13.74999999999993,7.500000000000107,0.4999999999999005,-1.500000000000057
2025-05-05,10.49999999999995,-8.000000000000007,-16.5,-33.99999999999999,-6.49999999999995,-8.999999999999986,20.99000000000011,12.02000000000005,8.000000000000007,0.9999999999999787,-2.499999999999858
2025-05-06,10.49999999999995,-8.000000000000007,-15.25000000000007,-31.00000000000005,-6.500000000000128,-8.499999999999908,18.24999999999992,13.49999999999998,8.000000000000185,0.9999999999999787,-2.500000000000036
2025-05-07,10.50000000000004,-6.599999999999984,-13.3,-29.61999999999998,-5.000000000000071,-9.619999999999962,19.34000000000005,11.73000000000002,7.249999999999979,-0.7500000000000284,-0.2499999999999503
2025-05-08,15.99999999999993,-4.499999999999993,-10.74999999999999,-25.49999999999999,-5.000000000000071,-8.500000000000085,18.75,10.49000000000007,8.489999999999931,0.4899999999999238,-0.9800000000000253
2025-05-09,16.00000000000001,-5.999999999999961,-11.74999999999997,-27.00000000000005,-5.799999999999983,-9.500000000000064,20.25000000000006,10.99999999999994,8.500000000000085,-0.5000000000000782,0.5000000000000782
2025-05-12,19.09999999999998,-6.00000000000005,-9.999999999999964,-24.80000000000002,-6.300000000000061,-10.80000000000005,20.60000000000013,9.500000000000064,8.500000000000085,-2.099999999999902,-0.2499999999999503
2025-05-13,25.99999999999998,-6.500000000000039,-9.000000000000075,-24.50000000000001,-5.749999999999922,-12.9999999999999,21.99999999999989,10.00000000000014,8.000000000000007,0.0,-1.499999999999879
2025-05-14,30.99999999999996,-4.499999999999993,-6.749999999999989,-22.00000000000006,-5.100000000000016,-13.00000000000008,22.75000000000009,8.999999999999986,4.999999999999893,-1.000000000000156,-2.749999999999986
2025-05-15,25.99,-4.999999999999982,-10.20000000000003,-25.0,-4.500000000000171,-9.600000000000009,22.2999999999999,11.49000000000004,5.979999999999919,-0.01999999999995339,-2.73000000000021
2025-05-16,26.48999999999999,-6.49999999999995,-11.50000000000002,-25.0,-5.000000000000071,-8.499999999999908,20.48000000000005,12.04000000000001,8.489999999999931,-0.5100000000000549,-1.000000000000156
2025-05-19,26.00000000000007,-6.500000000000039,-12.00000000000001,-27.00000000000005,-4.899999999999949,-9.500000000000064,22.49999999999996,12.0000000000001,8.000000000000185,-0.9999999999999787,-1.750000000000007
2025-05-20,27.00000000000005,-6.99999999999994,-12.19999999999999,-26.25000000000002,-5.850000000000044,-8.84999999999998,21.8,12.74999999999995,7.500000000000107,-0.5000000000000782,-1.500000000000057
2025-05-21,27.00000000000005,-7.249999999999979,-12.5,-26.50000000000006,-6.49999999999995,-8.750000000000036,21.75000000000011,12.74999999999995,7.500000000000107,-0.5000000000000782,-1.500000000000057
2025-05-22,28.98999999999994,-5.999999999999961,-12.99999999999999,-24.49999999999992,-8.500000000000085,-4.499999999999993,18.49999999999987,13.49999999999998,6.489999999999974,0.9800000000000253,-3.979999999999961
2025-05-23,32.74999999999997,-6.99999999999994,-11.49999999999993,-24.50000000000001,-5.500000000000149,-8.500000000000085,21.48000000000003,13.53999999999989,6.00000000000005,-1.750000000000007,-0.4999999999999005
2025-05-26,33.75000000000004,-6.199999999999939,-10.74999999999999,-22.69999999999994,-5.999999999999872,-7.399999999999984,20.89999999999996,12.10000000000022,7.05000000000009,-0.2500000000001279,-1.500000000000057
2025-05-27,28.50000000000001,-7.499999999999929,-11.79999999999994,-22.99999999999995,-8.099999999999952,-6.899999999999906,19.20000000000002,12.5,6.49999999999995,1.500000000000057,-4.500000000000171
2025-05-28,29.0,-7.500000000000018,-12.5,-24.00000000000002,-7.499999999999929,-6.500000000000128,19.99999999999993,12.5,7.000000000000028,2.500000000000036,-6.49999999999995
2025-05-29,23.98999999999996,-8.000000000000007,-13.49999999999998,-25.49999999999999,-7.500000000000107,-6.49999999999995,19.50000000000003,12.5,6.990000000000052,1.980000000000004,-4.97999999999994
