Date,7y8y,10y12y,25y30y,20y25y,3y4y5y,5y7y10y,10y12y15y,20y25y30y
2024-06-05,0.3885681291293029,0.5456620352228742,0.3451652692956353,0.4582751763452757,0.28378262003280247,0.36017784727152413,0.14768132161897446,0.15115857403507438
2024-06-06,0.3928390615761134,0.547587779335213,0.34659434102976755,0.459971306336389,0.282731313905693,0.3534871452844871,0.147449943224605,0.1508540248739525
2024-06-07,0.39229215095978964,0.5471906399518313,0.3499139759500013,0.4645706065610425,0.28318063376324715,0.34903959921707767,0.14752485243287233,0.1516862845926254
2024-06-10,0.39348201309359165,0.5473300209639198,0.3530226794892197,0.4696940279197121,0.28137940976646636,0.34177625102246206,0.14757606539425236,0.1528281229330587
2024-06-11,0.3980449446959762,0.5529593270510176,0.35526747424159044,0.4737963064234285,0.28202688390908154,0.34078737660952174,0.14760015807495133,0.15427385727062728
2024-06-12,0.39638781119336175,0.5551048968823854,0.35613505132886986,0.4763115651762001,0.2765185999371055,0.33704551185824355,0.14780520526687602,0.15610884730506758
2024-06-13,0.38862108573891785,0.5530177919578664,0.35618791413440426,0.4759601901882402,0.2682417645932448,0.3339732376304042,0.14794711570190702,0.15787510403983598
2024-06-14,0.3704968792519911,0.5301962895832941,0.3479979863362872,0.4654295314749722,0.2653851490448664,0.33392750664240156,0.14858057186188203,0.1573156499670932
2024-06-17,0.37032867135986386,0.5230939738578109,0.3414763862725266,0.46104102788689205,0.2654815695530379,0.33208252370406066,0.14888762362443622,0.15758613607999628
2024-06-18,0.37076233688611654,0.5220278003653117,0.33635646319220375,0.459439563090737,0.26474544936074207,0.3278869521933762,0.1489489842025782,0.15776894057248061
2024-06-19,0.37127633544723987,0.5220403360546892,0.3352904437045923,0.46068405323392975,0.2664880470540612,0.32936170752666827,0.1502173675966214,0.15744757595602296
2024-06-20,0.36803243629675775,0.518714593786437,0.33506711443688664,0.46041072799848193,0.26433659244849544,0.3305541898673468,0.14886015216083845,0.15744757594895706
2024-06-21,0.36684476927935267,0.5178486931471767,0.3350094433184074,0.4604037334759451,0.2608331137546154,0.3312412849263361,0.14894495737367397,0.1574533171491351
2024-06-24,0.3657039782827456,0.5154048959932414,0.3337997310991141,0.45863735322306115,0.2595270262803912,0.3307188440985494,0.15055847549432438,0.15702410629639083
2024-06-25,0.3654401705774349,0.514890842507335,0.3335886121978241,0.45805806782656266,0.26156226959130807,0.3324118915665823,0.14829932798023743,0.1566704389890189
2024-06-26,0.3672449726746515,0.5141862190074429,0.33345711916706994,0.4577796573677552,0.26372715626646254,0.33321584565308315,0.14588603343520629,0.1570435656986693
2024-06-27,0.378947323394876,0.5154018507512018,0.3330779392411556,0.45645228498839435,0.27016949135848806,0.33383100340630545,0.14629666865753588,0.15632730903986136
2024-06-28,0.3794227245354315,0.515844309504543,0.3338958269151179,0.4567914606759514,0.26971281913875056,0.33375187480436846,0.14871256553024217,0.1558814308438209
2024-07-01,0.3774458105722278,0.5211484222579378,0.3391036345559687,0.4622406058826816,0.26776541962486916,0.33410205466935744,0.15594897850251427,0.15445041292578437
2024-07-02,0.38076665101493434,0.5217829159947055,0.33898877922715503,0.4738841845896354,0.27834127217304994,0.33312340430289133,0.16853569710599917,0.1927138147586356
2024-07-03,0.35828037999591905,0.47501291720994326,0.34500427753957263,0.45857902009846685,0.2877899091265897,0.33496312810976553,0.16967786959059503,0.38966559499990566
2024-07-04,0.3400518445855676,0.4213373168994201,0.4619395251905274,0.42600008798059663,0.29238056663589934,0.3421079512174538,0.16816401071364773,0.5948599329855866
2024-07-05,0.3199095780683362,0.3887579573773711,0.5460803782753162,0.39844368992323387,0.29318112818333514,0.35220891566176415,0.17165770066645064,0.6938538550038502
