,US,EU,Mexico,Chile,Brazil,India,China
2017-08-29,100.78242374530376,102.01207159968328,99.9411586163912,100.0,102.66413689420985,100.32369225922122,102.62907732278374
2017-08-30,100.84151048206508,102.02379612070654,99.93250648023712,100.0,102.68638331159814,100.32369225922122,102.59736856125824
2017-08-31,100.84301225103344,102.02541311528692,99.92898415327998,100.0,102.73897044794124,100.296764391877,102.60049352261191
2017-09-01,100.91202877936624,102.02109703013892,99.93086878351532,100.0,102.77876528564288,100.34277274168062,102.60049352261191
2017-09-05,100.77154084993585,102.00623243914104,99.92848620205442,100.0,102.91396599831238,100.36275998163588,102.60049352261191
2017-09-07,100.77577028932654,102.085092420141,99.9267913950121,100.0,102.91396599831238,100.32594666182932,102.5894872025164
2017-09-08,100.77970715601788,102.10244808150016,99.9340973663401,100.0,103.03503608332004,100.32594666182932,102.57606561946326
2017-09-11,100.925497248944,102.11746923066056,99.9257869628754,100.0,103.0494503645635,100.3414903132552,102.57606561946326
2017-09-13,100.95509943866664,102.13938695580664,99.9165875982181,100.0,103.09022039353562,100.31325932637677,102.57606561946326
2017-09-14,100.99755502162292,102.177017214618,99.93507727181236,100.0,103.11039884100306,100.31366445407394,102.57606561946326
2017-09-15,100.96848214589716,102.2065913201402,99.91752167933734,100.0,103.15547519136106,100.30781651998272,102.57606561946326
2017-09-18,100.94116986730212,102.21248095315244,99.92887760438497,100.0,103.1501473007413,100.31896575445688,102.57606561946326
2017-09-19,100.93298367782091,102.21502188972256,99.92219376866754,100.0,103.17123784130516,100.31896575445688,102.57606561946326
2017-09-20,100.84513462326063,102.20724412695924,99.85632615072176,100.0,103.18379289791297,100.33271706613505,102.57606561946326
2017-09-22,100.82411892882344,102.25125369792494,99.79482065136403,100.0,103.27640534782972,100.29707002912664,102.57606561946326
2017-09-25,100.8356112237625,102.25237513950154,99.79475985037384,100.0,103.2581004125669,100.3630449086979,102.57606561946326
2017-09-26,100.79321134906256,102.26142072480552,99.7879479156016,100.0,103.24584089156066,100.36520328075058,102.57606561946326
2017-09-28,100.8263381645107,102.31652236180445,99.72367613213244,100.0,103.252803525234,100.38309985609952,102.57606561946326
2017-10-03,100.75260623327615,102.30465083521104,99.71385578178472,100.0,103.17501615925846,100.41263270837162,102.57606561946326
2017-10-04,100.72396541499415,102.30386183930472,99.6980484623267,100.0,103.1683750911591,100.42224607148198,102.57606561946326
2017-10-05,100.68160807293498,102.30981241527056,99.72304623013817,100.0,103.16868162782822,100.40835191092232,102.57606561946326
2017-10-06,100.6470095541056,102.30761940215667,99.65444960046868,100.0,103.12099456928496,100.43408143158577,102.57606561946326
2017-10-10,100.645366673348,102.31400292544322,99.6407963546565,100.0,103.16569069906424,100.43408143158577,102.57606561946326
2017-10-11,100.6364575807293,102.32278200172752,99.61734795497826,100.0,103.1370267384069,100.4053974380304,102.57606561946326
2017-10-12,100.6351698699602,102.3248502199438,99.81086103809348,100.0,103.1370267384069,100.3921558529582,102.57606561946326
